round,status,model,name,expression,mechanism,failure_mode,reason,program_sha256
55,accepted,fino1:8b,volatility_asymmetry,"safe_divide(target_realized_volatility_60m_bps, target_upside_semivolatility_60m_bps) - safe_divide(target_realized_volatility_60m_bps, target_downside_semivolatility_60m_bps)",This factor captures the asymmetry in volatility by comparing the realized volatility to both upside and downside semivolatile measures. It highlights how much more or less volatile the asset is on the upside versus the downside.,"If either of the semivolatility values is zero, this calculation will fail, indicating a potential issue with the data or model assumptions.",,b557aae1b47e32212ba4fc1ccf4458177f0d64328bb6b44c5869d0dcc10c4ed4
55,accepted,fino1:8b,cross_asset_residual_behavior,"safe_divide(target_beta_residual_return_60m_bps, cross_asset_return_dispersion_60m_bps)",This factor examines how the target asset's residual return compares to the dispersion of returns across other assets. It provides insight into whether the target asset behaves differently from others.,"If either the beta residual return or the cross-asset return dispersion is zero, this calculation will fail, indicating a potential issue with data consistency.",,81376ee2023e113f66fbeb835c1311f81ed0a71aafbe9e320520c077381453b6
55,accepted,fino1:8b,flow_confirmation,"maximum(target_signed_taker_flow_60m, 0) - minimum(cross_asset_taker_flow_agreement, 0)",This factor gauges the confirmation of flow by comparing the target asset's signed taker flow with the cross-asset agreement. It highlights when the flows are aligned and positive.,"If either the signed taker flow or the cross-asset agreement contains outliers or errors, this calculation may not accurately reflect flow confirmation.",,cef9300b2b311639cc997045ec8aeabe5b8e268165a271423641c769621ffc71
55,accepted,qwen3:8b,volatility_asymmetry_trend,"safe_divide(target_upside_semivolatility_60m_bps, target_downside_semivolatility_60m_bps)",measures the asymmetry in upside and downside volatility to identify trend quality in the current symbol,"if volatility is zero, division fails, indicating potential market closure or illiquidity",,c83abd611dae1e4f9c722a74e6cb36907098ebf5d578af7a4ec54d590dc00c08
55,accepted,qwen3:8b,cross_asset_flow_confirmation,"maximum(cross_asset_taker_flow_mean, cross_asset_taker_flow_agreement)",identifies the dominant flow agreement across assets to confirm cross-asset liquidity behavior,"if flow values are negative or zero, maximum fails to capture meaningful cross-asset dynamics",,c404d096699e17cf9d7d472fc020742cb1f8d9ce89e1394cd298ee74777296d2
55,accepted,qwen3:8b,liquidity_conditioned_residual_return,"safe_divide(target_beta_residual_return_60m_bps, target_to_btc_liquidity_ratio_60m)",assesses residual returns relative to liquidity conditions to isolate liquidity-driven price movements,"if liquidity ratio is zero, division fails, indicating potential liquidity exhaustion",,b134b2d92dbd8c1614af171bdae05475bb445144c52ef592ae3c05ffbaa78707
55,accepted,qwen3:8b,volatility_range_disparity,target_realized_volatility_60m_bps - target_intrabar_range_bps,compares realized volatility with intrabar range to detect volatility asymmetry in price movement,"if range exceeds volatility, subtraction yields negative values, indicating range dominance",,3dcf5a3a5587164d5808024b9370d9b1805f1f2857178639ae558c0071ead5a6
55,rejected,fin-r1:8b,volatility_asymmetry_240m,,,,factor uses an unknown feature: target_downside_semivolatility_240m,
55,rejected,fin-r1:8b,trend_quality_15m,,,,model_parameter_scale_below_frozen_minimum,
55,rejected,fin-r1:8b,flow_confirmation_60m,,,,model_parameter_scale_below_frozen_minimum,
55,rejected,fin-r1:8b,liquidity_conditioned_regime_60m,,,,model_parameter_scale_below_frozen_minimum,
55,rejected,fino1:8b,liquidity_conditioned_trend,,,,factor combines incompatible additive units: bps and dimensionless,
