symbol,role,rows,first_decision_time_ms,first_decision_time_utc,last_decision_time_ms,last_decision_time_utc
BTCUSDT,calibration,34377,1685923270000,2023-06-05T00:01:10+00:00,1686268490000,2023-06-08T23:54:50+00:00
BTCUSDT,early_stop,34386,1685577670000,2023-06-01T00:01:10+00:00,1685922890000,2023-06-04T23:54:50+00:00
BTCUSDT,evaluation,51548,1686268870000,2023-06-09T00:01:10+00:00,1686786890000,2023-06-14T23:54:50+00:00
BTCUSDT,train,128147,1684241150000,2023-05-16T12:45:50+00:00,1685577290000,2023-05-31T23:54:50+00:00
ETHUSDT,calibration,34368,1685923270000,2023-06-05T00:01:10+00:00,1686268490000,2023-06-08T23:54:50+00:00
ETHUSDT,early_stop,34381,1685577670000,2023-06-01T00:01:10+00:00,1685922890000,2023-06-04T23:54:50+00:00
ETHUSDT,evaluation,51548,1686268870000,2023-06-09T00:01:10+00:00,1686786890000,2023-06-14T23:54:50+00:00
ETHUSDT,train,128068,1684241150000,2023-05-16T12:45:50+00:00,1685577290000,2023-05-31T23:54:50+00:00
SOLUSDT,calibration,24078,1685923270000,2023-06-05T00:01:10+00:00,1686268480000,2023-06-08T23:54:40+00:00
SOLUSDT,early_stop,11582,1685577670000,2023-06-01T00:01:10+00:00,1685922890000,2023-06-04T23:54:50+00:00
SOLUSDT,evaluation,39699,1686268870000,2023-06-09T00:01:10+00:00,1686786890000,2023-06-14T23:54:50+00:00
SOLUSDT,train,59805,1684241170000,2023-05-16T12:46:10+00:00,1685577070000,2023-05-31T23:51:10+00:00
