candidate_id,distribution_mean_mse_bps2,distribution_mean_spearman,horizon_minutes,rows,symbol
single_logistic_tcn,683.6327647133573,0.04023110167161871,15,52104,BTCUSDT
single_logistic_tcn,1718.6424483613528,0.04575951760433984,15,52104,ETHUSDT
single_logistic_tcn,2551.6880936350467,0.03364415570508411,15,52104,SOLUSDT
single_logistic_tcn,1353.8698429577773,0.03501708012151816,30,52104,BTCUSDT
single_logistic_tcn,3442.223469210984,0.04126785432916977,30,52104,ETHUSDT
single_logistic_tcn,5037.861736479524,0.03121444018949059,30,52104,SOLUSDT
single_logistic_tcn,2681.753178473331,0.030125902864803607,60,52104,BTCUSDT
single_logistic_tcn,6863.412890017684,0.034188858280348705,60,52104,ETHUSDT
single_logistic_tcn,10154.97745120638,0.03193670347977414,60,52104,SOLUSDT
single_logistic_tcn,5383.344633525235,0.025039364451975236,120,52104,BTCUSDT
single_logistic_tcn,13926.780227575855,0.02876811563858045,120,52104,ETHUSDT
single_logistic_tcn,20273.44137565822,0.023785727330296838,120,52104,SOLUSDT
state_mixture_logistic_tcn,681.4287750102204,0.03140790627862734,15,52104,BTCUSDT
state_mixture_logistic_tcn,1715.5634292059726,0.029134474274452125,15,52104,ETHUSDT
state_mixture_logistic_tcn,2552.1364810237405,0.020362456361260564,15,52104,SOLUSDT
state_mixture_logistic_tcn,1349.214437070121,0.028770197197367984,30,52104,BTCUSDT
state_mixture_logistic_tcn,3434.243699882757,0.029321894164057716,30,52104,ETHUSDT
state_mixture_logistic_tcn,5040.422733699558,0.019254713963496914,30,52104,SOLUSDT
state_mixture_logistic_tcn,2671.0742716962095,0.022171340944973698,60,52104,BTCUSDT
state_mixture_logistic_tcn,6843.644290894254,0.019012081556069326,60,52104,ETHUSDT
state_mixture_logistic_tcn,10160.840986110494,0.02084969702670485,60,52104,SOLUSDT
state_mixture_logistic_tcn,5350.300243301279,0.02090041048856496,120,52104,BTCUSDT
state_mixture_logistic_tcn,13871.551424580059,0.023242663651801082,120,52104,ETHUSDT
state_mixture_logistic_tcn,20261.715777575704,0.019116588008660236,120,52104,SOLUSDT
